Cars,Battery Capacity (kWh),Range (miles),Charging Speed (miles/min)
Porsche Taycan (4S Plus Sport Turismo),89,222,10.7
Renault Megane E-Tech,60,280,10.1
Renault Zoe ,52,239,3.8
Skoda Enyaq Coupe iV (vRS),82,323,8.9
Skoda Enyaq Coupe iV (80x Sportline Plus),82,321,8.8
Skoda Enyaq Coupe iV (80 Sportline Plus),82,335,9.2
Skoda Enyaq Coupe iV (80),82,345,9.5
Skoda Enyaq iV (60),62,246,7.9
Skoda Enyaq iV (80),82,339,9.3
Skoda Enyaq iV (80 Sportline Plus),82,332,9.1
Skoda Enyaq iV (80x Sportline Plus),82,318,8.7
Skoda Enyaq iV (vRS),82,321,8.8
Smart EQ fortwo (Coupe),17.6,81,1.7
Smart EQ fortwo (Cabrio),17.6,77,1.6
Subaru Solterra (Limited),71.4,289,10.1
Subaru Solterra (Touring),71.4,257,9
